Entry,Entry Name,Protein names,Gene Names,Gene Ontology (GO)
P40189,IL6RB_HUMAN,Interleukin-6 receptor subunit beta (IL-6 receptor subunit beta) (IL-6R subunit beta) (IL-6R-beta) (IL-6RB) (CDw130) (Interleukin-6 signal transducer) (Membrane glycoprotein 130) (gp130) (Oncostatin-M receptor subunit alpha) (CD antigen CD130),IL6ST,ciliary neurotrophic factor receptor complex [GO:0070110]; dendrite [GO:0030425]; external side of plasma membrane [GO:0009897]; extracellular exosome [GO:0070062]; extracellular region [GO:0005576]; extracellular space [GO:0005615]; interleukin-6 receptor complex [GO:0005896]; membrane [GO:0016020]; membrane raft [GO:0045121]; neuronal cell body [GO:0043025]; oncostatin-M receptor complex [GO:0005900]; plasma membrane [GO:0005886]; receptor complex [GO:0043235]; ciliary neurotrophic factor receptor activity [GO:0004897]; ciliary neurotrophic factor receptor binding [GO:0005127]; coreceptor activity [GO:0015026]; cytokine binding [GO:0019955]; cytokine receptor activity [GO:0004896]; growth factor binding [GO:0019838]; identical protein binding [GO:0042802]; interleukin-11 binding [GO:0019970]; interleukin-11 receptor activity [GO:0004921]; interleukin-27 receptor activity [GO:0045509]; protein tyrosine kinase activator activity [GO:0030296]; scaffold protein binding [GO:0097110]; ciliary neurotrophic factor-mediated signaling pathway [GO:0070120]; cytokine-mediated signaling pathway [GO:0019221]; glycogen metabolic process [GO:0005977]; interleukin-11-mediated signaling pathway [GO:0038154]; interleukin-27-mediated signaling pathway [GO:0070106]; interleukin-6-mediated signaling pathway [GO:0070102]; intestinal epithelial cell development [GO:0060576]; leukemia inhibitory factor signaling pathway [GO:0048861]; negative regulation of apoptotic process [GO:0043066]; negative regulation of interleukin-6-mediated signaling pathway [GO:0070104]; negative regulation of neuron apoptotic process [GO:0043524]; oncostatin-M-mediated signaling pathway [GO:0038165]; positive regulation of acute inflammatory response [GO:0002675]; positive regulation of adaptive immune response [GO:0002821]; positive regulation of astrocyte differentiation [GO:0048711]; positive regulation of cardiac muscle hypertrophy [GO:0010613]; positive regulation of cell population proliferation [GO:0008284]; positive regulation of Notch signaling pathway [GO:0045747]; positive regulation of osteoblast differentiation [GO:0045669]; positive regulation of platelet aggregation [GO:1901731]; positive regulation of T cell proliferation [GO:0042102]; positive regulation of tyrosine phosphorylation of STAT protein [GO:0042531]; positive regulation of vascular endothelial growth factor production [GO:0010575]; response to cytokine [GO:0034097]; T-helper 17 cell lineage commitment [GO:0072540]
P40199,CEAM6_HUMAN,Carcinoembryonic antigen-related cell adhesion molecule 6 (Non-specific crossreacting antigen) (Normal cross-reacting antigen) (CD antigen CD66c),CEACAM6 NCA,apical plasma membrane [GO:0016324]; azurophil granule membrane [GO:0035577]; cell surface [GO:0009986]; extracellular space [GO:0005615]; membrane [GO:0016020]; plasma membrane [GO:0005886]; side of membrane [GO:0098552]; identical protein binding [GO:0042802]; protein heterodimerization activity [GO:0046982]; apoptotic process [GO:0006915]; heterophilic cell-cell adhesion via plasma membrane cell adhesion molecules [GO:0007157]; homophilic cell adhesion via plasma membrane adhesion molecules [GO:0007156]; negative regulation of anoikis [GO:2000811]; positive regulation of cell migration [GO:0030335]; positive regulation of cell population proliferation [GO:0008284]; positive regulation of endothelial cell-matrix adhesion via fibronectin [GO:1904906]; positive regulation of heterotypic cell-cell adhesion [GO:0034116]; signal transduction [GO:0007165]
P40200,TACT_HUMAN,T-cell surface protein tactile (Cell surface antigen CD96) (T cell-activated increased late expression protein) (CD antigen CD96),CD96,cytoplasm [GO:0005737]; plasma membrane [GO:0005886]; cell adhesion [GO:0007155]; cell-matrix adhesion [GO:0007160]; immune response [GO:0006955]; inflammatory response [GO:0006954]; negative regulation of natural killer cell cytokine production [GO:0002728]; negative regulation of type II interferon production [GO:0032689]; response to lipopolysaccharide [GO:0032496]
P40225,TPO_HUMAN,Thrombopoietin (C-mpl ligand) (ML) (Megakaryocyte colony-stimulating factor) (Megakaryocyte growth and development factor) (MGDF) (Myeloproliferative leukemia virus oncogene ligand),THPO MGDF,extracellular region [GO:0005576]; extracellular space [GO:0005615]; cytokine activity [GO:0005125]; growth factor activity [GO:0008083]; hormone activity [GO:0005179]; signaling receptor binding [GO:0005102]; cell population proliferation [GO:0008283]; cell surface receptor signaling pathway via STAT [GO:0097696]; megakaryocyte development [GO:0035855]; megakaryocyte differentiation [GO:0030219]; positive regulation of cell population proliferation [GO:0008284]; positive regulation of ERK1 and ERK2 cascade [GO:0070374]; positive regulation of hematopoietic stem cell proliferation [GO:1902035]; positive regulation of MAPK cascade [GO:0043410]; positive regulation of megakaryocyte differentiation [GO:0045654]; positive regulation of phosphatidylinositol 3-kinase/protein kinase B signal transduction [GO:0051897]; positive regulation of protein phosphorylation [GO:0001934]; thrombopoietin-mediated signaling pathway [GO:0038163]
P40238,TPOR_HUMAN,Thrombopoietin receptor (TPO-R) (Myeloproliferative leukemia protein) (Proto-oncogene c-Mpl) (CD antigen CD110),MPL TPOR,cell surface [GO:0009986]; external side of plasma membrane [GO:0009897]; Golgi apparatus [GO:0005794]; neuronal cell body [GO:0043025]; nuclear membrane [GO:0031965]; plasma membrane [GO:0005886]; thrombopoietin receptor activity [GO:0038164]; basophil homeostasis [GO:1990960]; cellular response to hypoxia [GO:0071456]; eosinophil homeostasis [GO:1990959]; immunoglobulin mediated immune response [GO:0016064]; monocyte homeostasis [GO:0035702]; neutrophil homeostasis [GO:0001780]; positive regulation of lymphocyte proliferation [GO:0050671]; positive regulation of platelet formation [GO:1905221]; thrombopoietin-mediated signaling pathway [GO:0038163]
P40763,STAT3_HUMAN,Signal transducer and activator of transcription 3 (Acute-phase response factor),STAT3 APRF,"chromatin [GO:0000785]; cytoplasm [GO:0005737]; cytosol [GO:0005829]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; plasma membrane [GO:0005886]; RNA polymerase II transcription regulator complex [GO:0090575]; transcription regulator complex [GO:0005667]; chromatin DNA binding [GO:0031490]; DNA binding [GO:0003677]; DNA-binding transcription activator activity, RNA polymerase II-specific [GO:0001228]; DNA-binding transcription factor activity [GO:0003700]; DNA-binding transcription factor activity, RNA polymerase II-specific [GO:0000981]; DNA-binding transcription factor binding [GO:0140297]; identical protein binding [GO:0042802]; lncRNA binding [GO:0106222]; nuclear receptor activity [GO:0004879]; primary miRNA binding [GO:0070878]; protein dimerization activity [GO:0046983]; protein homodimerization activity [GO:0042803]; protein kinase binding [GO:0019901]; protein phosphatase binding [GO:0019903]; RNA polymerase II cis-regulatory region sequence-specific DNA binding [GO:0000978]; RNA polymerase II-specific DNA-binding transcription factor binding [GO:0061629]; RNA sequestering activity [GO:0140610]; signaling adaptor activity [GO:0035591]; signaling receptor binding [GO:0005102]; transcription cis-regulatory region binding [GO:0000976]; astrocyte differentiation [GO:0048708]; cell differentiation [GO:0030154]; cell population proliferation [GO:0008283]; cell surface receptor signaling pathway via JAK-STAT [GO:0007259]; cell surface receptor signaling pathway via STAT [GO:0097696]; cellular response to hormone stimulus [GO:0032870]; cellular response to interleukin-17 [GO:0097398]; cellular response to leptin stimulus [GO:0044320]; cytokine-mediated signaling pathway [GO:0019221]; defense response [GO:0006952]; eating behavior [GO:0042755]; energy homeostasis [GO:0097009]; eye photoreceptor cell differentiation [GO:0001754]; glucose homeostasis [GO:0042593]; growth hormone receptor signaling pathway [GO:0060396]; growth hormone receptor signaling pathway via JAK-STAT [GO:0060397]; inflammatory response [GO:0006954]; interleukin-10-mediated signaling pathway [GO:0140105]; interleukin-11-mediated signaling pathway [GO:0038154]; interleukin-15-mediated signaling pathway [GO:0035723]; interleukin-2-mediated signaling pathway [GO:0038110]; interleukin-6-mediated signaling pathway [GO:0070102]; interleukin-9-mediated signaling pathway [GO:0038113]; intracellular receptor signaling pathway [GO:0030522]; leptin-mediated signaling pathway [GO:0033210]; mRNA transcription by RNA polymerase II [GO:0042789]; negative regulation of autophagy [GO:0010507]; negative regulation of cell population proliferation [GO:0008285]; negative regulation of gene expression [GO:0010629]; negative regulation of glycolytic process [GO:0045820]; negative regulation of inflammatory response [GO:0050728]; negative regulation of inflammatory response to wounding [GO:0106015]; negative regulation of neuron migration [GO:2001223]; negative regulation of primary miRNA processing [GO:2000635]; negative regulation of stem cell differentiation [GO:2000737]; negative regulation of transcription by RNA polymerase II [GO:0000122]; nervous system development [GO:0007399]; phosphatidylinositol 3-kinase/protein kinase B signal transduction [GO:0043491]; phosphorylation [GO:0016310]; positive regulation of angiogenesis [GO:0045766]; positive regulation of cell migration [GO:0030335]; positive regulation of cytokine production involved in inflammatory response [GO:1900017]; positive regulation of DNA-templated transcription [GO:0045893]; positive regulation of erythrocyte differentiation [GO:0045648]; positive regulation of gene expression [GO:0010628]; positive regulation of interleukin-1 beta production [GO:0032731]; positive regulation of interleukin-10 production [GO:0032733]; positive regulation of interleukin-6 production [GO:0032755]; positive regulation of interleukin-8 production [GO:0032757]; positive regulation of metalloendopeptidase activity [GO:1904685]; positive regulation of miRNA transcription [GO:1902895]; positive regulation of NF-kappaB transcription factor activity [GO:0051092]; positive regulation of Notch signaling pathway [GO:0045747]; positive regulation of transcription by RNA polymerase II [GO:0045944]; positive regulation of tumor necrosis factor production [GO:0032760]; positive regulation of vascular endothelial cell proliferation [GO:1905564]; positive regulation of vascular endothelial growth factor production [GO:0010575]; protein import into nucleus [GO:0006606]; radial glial cell differentiation [GO:0060019]; regulation of cell cycle [GO:0051726]; regulation of cell population proliferation [GO:0042127]; regulation of DNA-templated transcription [GO:0006355]; regulation of feeding behavior [GO:0060259]; regulation of multicellular organism growth [GO:0040014]; regulation of transcription by RNA polymerase II [GO:0006357]; response to estradiol [GO:0032355]; response to leptin [GO:0044321]; response to peptide hormone [GO:0043434]; retinal rod cell differentiation [GO:0060221]; sexual reproduction [GO:0019953]; signal transduction [GO:0007165]; somatic stem cell population maintenance [GO:0035019]; T-helper 17 cell lineage commitment [GO:0072540]; T-helper 17 type immune response [GO:0072538]; temperature homeostasis [GO:0001659]; transforming growth factor beta receptor signaling pathway [GO:0007179]"
P40933,IL15_HUMAN,Interleukin-15 (IL-15),IL15,cytoplasm [GO:0005737]; cytosol [GO:0005829]; endosome [GO:0005768]; extracellular region [GO:0005576]; extracellular space [GO:0005615]; Golgi apparatus [GO:0005794]; nuclear speck [GO:0016607]; nucleoplasm [GO:0005654]; cytokine activity [GO:0005125]; cytokine receptor binding [GO:0005126]; cell maturation [GO:0048469]; cell-cell signaling [GO:0007267]; extrathymic T cell selection [GO:0045062]; immune response [GO:0006955]; interleukin-15-mediated signaling pathway [GO:0035723]; lymph node development [GO:0048535]; macrophage differentiation [GO:0030225]; natural killer cell differentiation [GO:0001779]; natural killer cell proliferation [GO:0001787]; negative regulation of cold-induced thermogenesis [GO:0120163]; neutrophil activation [GO:0042119]; NK T cell proliferation [GO:0001866]; positive regulation of cell population proliferation [GO:0008284]; positive regulation of cytokine production [GO:0001819]; positive regulation of immune response [GO:0050778]; positive regulation of inflammatory response [GO:0050729]; positive regulation of interleukin-17 production [GO:0032740]; positive regulation of natural killer cell differentiation [GO:0032825]; positive regulation of natural killer cell proliferation [GO:0032819]; positive regulation of peptidyl-tyrosine phosphorylation [GO:0050731]; positive regulation of phagocytosis [GO:0050766]; positive regulation of protein O-linked glycosylation [GO:1904100]; positive regulation of T cell proliferation [GO:0042102]; positive regulation of tissue remodeling [GO:0034105]; positive regulation of tyrosine phosphorylation of STAT protein [GO:0042531]; regulation of defense response to virus by host [GO:0050691]; regulation of T cell differentiation [GO:0045580]; signal transduction [GO:0007165]; tyrosine phosphorylation of STAT protein [GO:0007260]
P41159,LEP_HUMAN,Leptin (Obese protein) (Obesity factor),LEP OB OBS,cytosol [GO:0005829]; extracellular region [GO:0005576]; extracellular space [GO:0005615]; DNA binding [GO:0003677]; hormone activity [GO:0005179]; leptin receptor binding [GO:1990460]; peptide hormone receptor binding [GO:0051428]; activation of protein kinase C activity [GO:1990051]; adipose tissue development [GO:0060612]; adult feeding behavior [GO:0008343]; angiogenesis [GO:0001525]; aorta development [GO:0035904]; bile acid metabolic process [GO:0008206]; bone growth [GO:0098868]; bone mineralization involved in bone maturation [GO:0035630]; cardiac muscle hypertrophy [GO:0003300]; cellular response to insulin stimulus [GO:0032869]; cellular response to L-ascorbic acid [GO:0071298]; cellular response to leptin stimulus [GO:0044320]; cellular response to retinoic acid [GO:0071300]; central nervous system neuron development [GO:0021954]; cholesterol metabolic process [GO:0008203]; circadian rhythm [GO:0007623]; determination of adult lifespan [GO:0008340]; eating behavior [GO:0042755]; elastin metabolic process [GO:0051541]; energy homeostasis [GO:0097009]; energy reserve metabolic process [GO:0006112]; fatty acid beta-oxidation [GO:0006635]; female pregnancy [GO:0007565]; glucose homeostasis [GO:0042593]; glucose metabolic process [GO:0006006]; glycerol biosynthetic process [GO:0006114]; hormone metabolic process [GO:0042445]; insulin secretion [GO:0030073]; intestinal absorption [GO:0050892]; intracellular signal transduction [GO:0035556]; leptin-mediated signaling pathway [GO:0033210]; leukocyte tethering or rolling [GO:0050901]; lipid metabolic process [GO:0006629]; negative regulation of apoptotic process [GO:0043066]; negative regulation of appetite [GO:0032099]; negative regulation of appetite by leptin-mediated signaling pathway [GO:0038108]; negative regulation of autophagy [GO:0010507]; negative regulation of cartilage development [GO:0061037]; negative regulation of glucagon secretion [GO:0070093]; negative regulation of glucose import [GO:0046325]; negative regulation of glutamine transport [GO:2000486]; negative regulation of lipid storage [GO:0010888]; negative regulation of transcription by RNA polymerase II [GO:0000122]; negative regulation of vasoconstriction [GO:0045906]; ovulation from ovarian follicle [GO:0001542]; phagocytosis [GO:0006909]; placenta development [GO:0001890]; positive regulation of cold-induced thermogenesis [GO:0120162]; positive regulation of developmental growth [GO:0048639]; positive regulation of fat cell apoptotic process [GO:1904651]; positive regulation of follicle-stimulating hormone secretion [GO:0046881]; positive regulation of hepatic stellate cell activation [GO:2000491]; positive regulation of insulin receptor signaling pathway [GO:0046628]; positive regulation of interleukin-12 production [GO:0032735]; positive regulation of interleukin-6 production [GO:0032755]; positive regulation of interleukin-8 production [GO:0032757]; positive regulation of luteinizing hormone secretion [GO:0033686]; positive regulation of MAPK cascade [GO:0043410]; positive regulation of monoatomic ion transport [GO:0043270]; positive regulation of p38MAPK cascade [GO:1900745]; positive regulation of peroxisome proliferator activated receptor signaling pathway [GO:0035360]; positive regulation of phosphatidylinositol 3-kinase/protein kinase B signal transduction [GO:0051897]; positive regulation of protein import into nucleus [GO:0042307]; positive regulation of protein phosphorylation [GO:0001934]; positive regulation of reactive oxygen species metabolic process [GO:2000379]; positive regulation of receptor signaling pathway via JAK-STAT [GO:0046427]; positive regulation of T cell proliferation [GO:0042102]; positive regulation of TOR signaling [GO:0032008]; positive regulation of tumor necrosis factor production [GO:0032760]; positive regulation of tyrosine phosphorylation of STAT protein [GO:0042531]; prostaglandin secretion [GO:0032310]; regulation of angiogenesis [GO:0045765]; regulation of blood pressure [GO:0008217]; regulation of bone remodeling [GO:0046850]; regulation of brown fat cell differentiation [GO:0090335]; regulation of cell cycle [GO:0051726]; regulation of cytokine production involved in inflammatory response [GO:1900015]; regulation of endothelial cell proliferation [GO:0001936]; regulation of gluconeogenesis [GO:0006111]; regulation of insulin secretion [GO:0050796]; regulation of intestinal cholesterol absorption [GO:0030300]; regulation of lipoprotein lipid oxidation [GO:0060587]; regulation of natural killer cell activation [GO:0032814]; regulation of natural killer cell mediated cytotoxicity [GO:0042269]; regulation of natural killer cell proliferation [GO:0032817]; regulation of nitric-oxide synthase activity [GO:0050999]; regulation of steroid biosynthetic process [GO:0050810]; response to activity [GO:0014823]; response to dietary excess [GO:0002021]; response to estradiol [GO:0032355]; response to ethanol [GO:0045471]; response to hypoxia [GO:0001666]; response to insulin [GO:0032868]; response to vitamin E [GO:0033197]; sexual reproduction [GO:0019953]; T cell differentiation [GO:0030217]
P41182,BCL6_HUMAN,B-cell lymphoma 6 protein (BCL-6) (B-cell lymphoma 5 protein) (BCL-5) (Protein LAZ-3) (Zinc finger and BTB domain-containing protein 27) (Zinc finger protein 51),BCL6 BCL5 LAZ3 ZBTB27 ZNF51,"Golgi apparatus [GO:0005794]; nucleolus [GO:0005730]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; paraspeckles [GO:0042382]; chromatin binding [GO:0003682]; chromatin DNA binding [GO:0031490]; DNA-binding transcription factor activity [GO:0003700]; DNA-binding transcription factor binding [GO:0140297]; DNA-binding transcription repressor activity, RNA polymerase II-specific [GO:0001227]; identical protein binding [GO:0042802]; intronic transcription regulatory region sequence-specific DNA binding [GO:0001161]; metal ion binding [GO:0046872]; RNA polymerase II cis-regulatory region sequence-specific DNA binding [GO:0000978]; sequence-specific DNA binding [GO:0043565]; sequence-specific double-stranded DNA binding [GO:1990837]; transcription corepressor binding [GO:0001222]; actin cytoskeleton organization [GO:0030036]; B cell proliferation [GO:0042100]; cell morphogenesis [GO:0000902]; cell motility [GO:0048870]; cell-matrix adhesion [GO:0007160]; DNA damage response [GO:0006974]; erythrocyte development [GO:0048821]; germinal center formation [GO:0002467]; heterochromatin formation [GO:0031507]; inflammatory response [GO:0006954]; isotype switching to IgE isotypes [GO:0048289]; negative regulation of B cell apoptotic process [GO:0002903]; negative regulation of cell growth [GO:0030308]; negative regulation of cell-matrix adhesion [GO:0001953]; negative regulation of cellular senescence [GO:2000773]; negative regulation of DNA-templated transcription [GO:0045892]; negative regulation of isotype switching to IgE isotypes [GO:0048294]; negative regulation of mast cell cytokine production [GO:0032764]; negative regulation of mitotic cell cycle DNA replication [GO:1903464]; negative regulation of mononuclear cell proliferation [GO:0032945]; negative regulation of Notch signaling pathway [GO:0045746]; negative regulation of plasma cell differentiation [GO:1900099]; negative regulation of Rho protein signal transduction [GO:0035024]; negative regulation of T-helper 2 cell differentiation [GO:0045629]; negative regulation of transcription by RNA polymerase II [GO:0000122]; plasma cell differentiation [GO:0002317]; positive regulation of apoptotic process [GO:0043065]; positive regulation of B cell proliferation [GO:0030890]; positive regulation of cell motility [GO:2000147]; positive regulation of neuron differentiation [GO:0045666]; positive regulation of regulatory T cell differentiation [GO:0045591]; protein localization [GO:0008104]; pyramidal neuron differentiation [GO:0021859]; regulation of cell differentiation [GO:0045595]; regulation of cell population proliferation [GO:0042127]; regulation of cytokine production [GO:0001817]; regulation of germinal center formation [GO:0002634]; regulation of immune response [GO:0050776]; regulation of immune system process [GO:0002682]; regulation of inflammatory response [GO:0050727]; regulation of memory T cell differentiation [GO:0043380]; regulation of T cell proliferation [GO:0042129]; Rho protein signal transduction [GO:0007266]; spermatogenesis [GO:0007283]; T-helper 2 cell differentiation [GO:0045064]; transcription by RNA polymerase II [GO:0006366]; type 2 immune response [GO:0042092]"
P41221,WNT5A_HUMAN,Protein Wnt-5a,WNT5A,"cell surface [GO:0009986]; clathrin-coated endocytic vesicle membrane [GO:0030669]; endocytic vesicle membrane [GO:0030666]; endoplasmic reticulum lumen [GO:0005788]; extracellular exosome [GO:0070062]; extracellular matrix [GO:0031012]; extracellular region [GO:0005576]; extracellular space [GO:0005615]; glutamatergic synapse [GO:0098978]; Golgi lumen [GO:0005796]; plasma membrane [GO:0005886]; postsynapse [GO:0098794]; Schaffer collateral - CA1 synapse [GO:0098685]; chemoattractant activity involved in axon guidance [GO:1902379]; cytokine activity [GO:0005125]; frizzled binding [GO:0005109]; phospholipid binding [GO:0005543]; protein domain specific binding [GO:0019904]; receptor ligand activity [GO:0048018]; receptor tyrosine kinase-like orphan receptor binding [GO:0005115]; activation of protein kinase B activity [GO:0032148]; anterior/posterior axis specification, embryo [GO:0008595]; atrial septum development [GO:0003283]; axon extension involved in axon guidance [GO:0048846]; axon guidance [GO:0007411]; BMP signaling pathway [GO:0030509]; canonical Wnt signaling pathway [GO:0060070]; cartilage development [GO:0051216]; cell fate commitment [GO:0045165]; cellular response to calcium ion [GO:0071277]; cellular response to lipopolysaccharide [GO:0071222]; cellular response to retinoic acid [GO:0071300]; cellular response to transforming growth factor beta stimulus [GO:0071560]; cellular response to type II interferon [GO:0071346]; cervix development [GO:0060067]; chemoattraction of serotonergic neuron axon [GO:0036517]; chemorepulsion of dopaminergic neuron axon [GO:0036518]; cochlea morphogenesis [GO:0090103]; convergent extension involved in axis elongation [GO:0060028]; convergent extension involved in organogenesis [GO:0060029]; embryonic digit morphogenesis [GO:0042733]; embryonic skeletal system development [GO:0048706]; epithelial cell migration [GO:0010631]; epithelial cell proliferation involved in mammary gland duct elongation [GO:0060750]; epithelial to mesenchymal transition [GO:0001837]; establishment of epithelial cell apical/basal polarity [GO:0045198]; establishment of planar polarity [GO:0001736]; excitatory synapse assembly [GO:1904861]; face development [GO:0060324]; fibroblast growth factor receptor signaling pathway [GO:0008543]; genitalia development [GO:0048806]; heart looping [GO:0001947]; hematopoietic stem cell proliferation [GO:0071425]; hindgut morphogenesis [GO:0007442]; hypophysis morphogenesis [GO:0048850]; inflammatory response [GO:0006954]; inhibitory synapse assembly [GO:1904862]; JNK cascade [GO:0007254]; keratinocyte differentiation [GO:0030216]; kidney development [GO:0001822]; lateral sprouting involved in mammary gland duct morphogenesis [GO:0060599]; lens development in camera-type eye [GO:0002088]; lung development [GO:0030324]; macrophage derived foam cell differentiation [GO:0010742]; male gonad development [GO:0008584]; mammary gland branching involved in thelarche [GO:0060744]; meiotic nuclear division [GO:0140013]; melanocyte proliferation [GO:0097325]; mesenchymal cell proliferation [GO:0010463]; mesenchymal-epithelial cell signaling [GO:0060638]; mesodermal to mesenchymal transition involved in gastrulation [GO:0060809]; midbrain dopaminergic neuron differentiation [GO:1904948]; midgut development [GO:0007494]; negative regulation of apoptotic process [GO:0043066]; negative regulation of axon extension involved in axon guidance [GO:0048843]; negative regulation of BMP signaling pathway [GO:0030514]; negative regulation of canonical Wnt signaling pathway [GO:0090090]; negative regulation of cell proliferation in midbrain [GO:1904934]; negative regulation of DNA-templated transcription [GO:0045892]; negative regulation of epithelial cell proliferation [GO:0050680]; negative regulation of fat cell differentiation [GO:0045599]; negative regulation of fibroblast growth factor receptor signaling pathway [GO:0040037]; negative regulation of melanin biosynthetic process [GO:0048022]; negative regulation of mesenchymal cell proliferation [GO:0072201]; negative regulation of prostatic bud formation [GO:0060686]; negative regulation of synapse assembly [GO:0051964]; neuron differentiation [GO:0030182]; non-canonical Wnt signaling pathway [GO:0035567]; notochord morphogenesis [GO:0048570]; olfactory bulb interneuron development [GO:0021891]; optic cup formation involved in camera-type eye development [GO:0003408]; paraxial mesoderm formation [GO:0048341]; planar cell polarity pathway involved in axis elongation [GO:0003402]; planar cell polarity pathway involved in cardiac muscle tissue morphogenesis [GO:0061350]; planar cell polarity pathway involved in cardiac right atrium morphogenesis [GO:0061349]; planar cell polarity pathway involved in gastrula mediolateral intercalation [GO:0060775]; planar cell polarity pathway involved in neural tube closure [GO:0090179]; planar cell polarity pathway involved in outflow tract morphogenesis [GO:0061347]; planar cell polarity pathway involved in pericardium morphogenesis [GO:0061354]; planar cell polarity pathway involved in ventricular septum morphogenesis [GO:0061348]; positive regulation of angiogenesis [GO:0045766]; positive regulation of apoptotic signaling pathway [GO:2001235]; positive regulation of cartilage development [GO:0061036]; positive regulation of cell-cell adhesion mediated by cadherin [GO:2000049]; positive regulation of chemokine production [GO:0032722]; positive regulation of cytokine production involved in immune response [GO:0002720]; positive regulation of DNA-templated transcription [GO:0045893]; positive regulation of endocytosis [GO:0045807]; positive regulation of endothelial cell migration [GO:0010595]; positive regulation of endothelial cell proliferation [GO:0001938]; positive regulation of fibroblast proliferation [GO:0048146]; positive regulation of gene expression [GO:0010628]; positive regulation of hematopoietic stem cell proliferation [GO:1902035]; positive regulation of inflammatory response [GO:0050729]; positive regulation of interleukin-1 beta production [GO:0032731]; positive regulation of interleukin-6 production [GO:0032755]; positive regulation of interleukin-8 production [GO:0032757]; positive regulation of JNK cascade [GO:0046330]; positive regulation of JUN kinase activity [GO:0043507]; positive regulation of macrophage activation [GO:0043032]; positive regulation of macrophage cytokine production [GO:0060907]; positive regulation of MAPK cascade [GO:0043410]; positive regulation of meiotic nuclear division [GO:0045836]; positive regulation of mesenchymal cell proliferation [GO:0002053]; positive regulation of neuron projection arborization [GO:0150012]; positive regulation of neuron projection development [GO:0010976]; positive regulation of NF-kappaB transcription factor activity [GO:0051092]; positive regulation of non-canonical Wnt signaling pathway [GO:2000052]; positive regulation of ossification [GO:0045778]; positive regulation of peptidyl-serine phosphorylation [GO:0033138]; positive regulation of peptidyl-threonine phosphorylation [GO:0010800]; positive regulation of protein catabolic process [GO:0045732]; positive regulation of protein kinase C activity [GO:1900020]; positive regulation of protein kinase C signaling [GO:0090037]; positive regulation of protein localization to synapse [GO:1902474]; positive regulation of response to cytokine stimulus [GO:0060760]; positive regulation of T cell chemotaxis [GO:0010820]; positive regulation of thymocyte apoptotic process [GO:0070245]; positive regulation of timing of anagen [GO:0051885]; positive regulation of transcription by RNA polymerase II [GO:0045944]; positive regulation of tumor necrosis factor production [GO:0032760]; positive regulation of type I interferon-mediated signaling pathway [GO:0060340]; positive regulation of type II interferon production [GO:0032729]; post-anal tail morphogenesis [GO:0036342]; postsynapse assembly [GO:0099068]; postsynaptic modulation of chemical synaptic transmission [GO:0099170]; presynapse assembly [GO:0099054]; primary heart field specification [GO:0003138]; primitive streak formation [GO:0090009]; protein localization [GO:0008104]; regulation of branching involved in mammary gland duct morphogenesis [GO:0060762]; regulation of canonical NF-kappaB signal transduction [GO:0043122]; regulation of inflammatory response [GO:0050727]; regulation of postsynapse organization [GO:0099175]; regulation of postsynaptic cytosolic calcium ion concentration [GO:0099566]; regulation of synapse organization [GO:0050807]; response to organic substance [GO:0010033]; secondary heart field specification [GO:0003139]; secondary palate development [GO:0062009]; somitogenesis [GO:0001756]; thymocyte apoptotic process [GO:0070242]; type B pancreatic cell development [GO:0003323]; urinary bladder development [GO:0060157]; uterus development [GO:0060065]; vagina development [GO:0060068]; Wnt signaling pathway [GO:0016055]; Wnt signaling pathway, calcium modulating pathway [GO:0007223]; Wnt signaling pathway, planar cell polarity pathway [GO:0060071]; wound healing [GO:0042060]"
P41271,NBL1_HUMAN,Neuroblastoma suppressor of tumorigenicity 1 (DAN domain family member 1) (Protein N03) (Zinc finger protein DAN),NBL1 DAN DAND1,extracellular space [GO:0005615]; BMP binding [GO:0036122]; identical protein binding [GO:0042802]; morphogen activity [GO:0016015]; receptor ligand activity [GO:0048018]; animal organ morphogenesis [GO:0009887]; determination of dorsal identity [GO:0048263]; negative regulation of BMP signaling pathway [GO:0030514]; negative regulation of monocyte chemotaxis [GO:0090027]; nervous system development [GO:0007399]; neuron projection morphogenesis [GO:0048812]; positive regulation of neuron differentiation [GO:0045666]; sequestering of BMP from receptor via BMP binding [GO:0038098]; sequestering of BMP in extracellular matrix [GO:0035582]
P41273,TNFL9_HUMAN,Tumor necrosis factor ligand superfamily member 9 (4-1BB ligand) (4-1BBL),TNFSF9,extracellular space [GO:0005615]; plasma membrane [GO:0005886]; cytokine activity [GO:0005125]; signaling receptor binding [GO:0005102]; tumor necrosis factor receptor binding [GO:0005164]; tumor necrosis factor receptor superfamily binding [GO:0032813]; cell-cell signaling [GO:0007267]; immune response [GO:0006955]; positive regulation of activated T cell proliferation [GO:0042104]; positive regulation of cytotoxic T cell differentiation [GO:0045585]; regulation of apoptotic process [GO:0042981]; regulation of T cell proliferation [GO:0042129]
